restaurant,comment
Green China Grill,thank you sir !
Green China Grill,"I am surprised by the quality of the hand pulled noodles. It was fresh and oh so soft. We ordered the sirloin noodles (extra thin noodles), braised beef with extra thin noodles and 3 mix cold dishes. The braised beef was tender but it didn't melt in my mouth and the broth is flavorful. It's presented in a large bowl with an abundance of noodles. There's too many delicious items on the menu to select from, therefore, we are definitely going to come back here again to try other items on the menu."
Green China Grill,thank you Lyn
Green China Grill,"I don't like the fried noodle although it was highly recommended by the owner: too oily. The side dish is tasty but the portion is small, not really worthy the price paid. For the same price, I prefer to go their neighbor."
Green China Grill,"Came here for the first time with my family last night. This is the place to be if you want a chill place with some hand pulled noodles! All of the dishes we tried were amazing. Skewers - we for the lamb, chicken, and beef. They come on these metal skewers and taste amazing when they are hot! I really loved the lamb one, just because I love lamb and cumin, but if you're looking for something more flavorful and sweet- the chicken skewers are the ones to go to! They have a sweet bbq taste. Noodles- they were all amazing. The noodles were so good, we got an extra order of just the plain noodles. We tried the spicy hot oil noodles with the flat noodles (thick ones) and the flavor was definitely on point, but would have wished I ate it faster because it got cold quickly! We also tried the beef noodle soup with the thin flat noodles- my family loved this one! Just slurping up those hand pulled noodles! We also got the beef stew pot- the flavors in this one was amazing. The fat on the thinly sliced beef + the slight sour seasoning in the broth brought a lot of depth to this dish.Appetizer - the cold dish- must try the tripe!! It's so crunchy and the Mala seasoning it's marinated in is so numbing it's addicting! We also got wood ear which also had the Mala flavor and the cucumbers which were crunchy and refreshing.There are so many other menu items I want to try! I'll have to come back.Parking can be a little touch, so come early and be prepared to circle around."
Green China Grill,Thank u so much !!
Green China Grill,"This is the only noodle restaurant I go to in San Diego. They have the best noodles, they literally handpull it in front of you're eyes like no joke. It's pretty cool to watch: From a piece of dough to thin noodles. You can also choose your noodle sizes too. I could neva lol. I love the noodle soups along with some lamb skewers and the SNOW BEEF skewers and the chicken skewers are a MUST TRY. Also, I love the fact that they have some side dishes such as mini hot pot. They have it from beef to seafood, they even have the vegetarian options. Bringing my friends back this week. Sadly they don't open on Tuesdays. Parking is a little hard here. Also you get a 10% discount is you're paying cash. Services is amazing, super friendly staff and clean environments. Good vibes overall."
Green China Grill,"Definitely some of the best noodles I've had in San Diego by far and they offer quite the range of Chinese noodle preparations and other side-offerings (soups, hotpots, skewers, etc.).  Their main shindig would be their freshly made noodles though, which you have a pretty neat opening into the kitchen so you can see BOH making them.  Great for casual dining.  Note their cash discount (10%).  Parking on Convoy is always a bit dicey, but we got lucky in the Plaza right outside.  Generally service was good, though food took a bit to reach us (slightly over 20min) by virtue of the lunch rush.  QR code opens up their digital menu, but ordering placed with waitstaff face to face.They have a range of six noodle thicknesses (pictured) that give you options changing their thicknesses and profile (flat/thin).  You also have the option for hand-pulled or knife cut / sliced.  Bit of choice paralysis, but we ended up going for their braised beef noodle soup (sliced, default size) and cumin lamb fried noodles (flat noodles).==Beef Noodle soup==  Bowl of soul soothing goodness.  Simple and hearty, yet delicious.  Broth by itself was fairly light on seasoning, but adjusted to a great spot with spicy sauce on the side.  Came with some fresh cilantro and radishes.  The beef was pretty potent on flavor.  But the noodles?  Oh, they were perfect: great chew and heft, chunky sizes going from thick to thin (from the knife cut).  Couldn't ask for more.==Lamb Fried Noodles==  These tasted pretty good; lamb flavor throughout everything, the thick noodle texture was really on point.  Bit on the greasier side for fried noodles, but not an unexpected amount.  Unfortunately, a sour point was that we only got three (3) small-medium sized pieces of lamb in the whole thing (pictured is the only med piece we had).  Given the price markup this feels like we got shortchanged (+$4 for lamb).  I let it slide given the price of meats lately and we were visiting, but more local folks that come more often should pay some heed."
Green China Grill,thank you Kevin
Green China Grill,"BIG fans of Green China Grill. We flip back and forth between Din Tai Fung and Green China Grill a few times a month.Our favorite dishes at Green China Grill are the choice of three cold dishes (we usually go with the mushrooms, tofu noodles, and cucumber), and (of course) the hand-pulled noodles. We always get the wide ones with the spicy hot oil. Also, we recently discovered the cucumber and sesame paste noodles and they are AMAZING.We don't eat animals (ok, the occasional poke bowl or sushi or oyster), so this is perfect for us.Oh, and great service too."
Green China Grill,"ANYONE who rates Green China Grill lower than 4 stars either doesn't know good food, or has a major chip on their shoulder and wants to show off to their friends. When it comes to Chinese, hand-pulled noodles, this place definitely rates 5 stars. Period.In our continuing Convoy quest, my wife and I stopped by Green China Grill last night. We ordered the spicy biang biang noodles, spicy lamb skewers, beef pancake, and a couple beers. The biang biang noodles were exceptionally good -- probably the best noodles I've ever had (and I've had MANY, all around the world). The lamb skewers and beef pancake were also very good.Definitely a place we'll be back to as we work our way up and down Convoy..."
Green China Grill,"Contemplating between 4 star or 5 stars.  I ordered #1 noodle and #2 noodle dish on 2 different occasions.I am happy with the noodles here first of all.There are choices on the size of the noodles.  Chose default one and thicker one.  Both good experience.  It has good texture.  Not too sure about the topping.  The beef on both of the serving was good, but I guess I am just used to ramen bowls with bunch of toppings.  But maybe that's comparing apples and bananas.  Perhaps not a good comparison, maybe this dish is served exactly the way it is supposed to be served.Now for the broth.  I thought initially it was bland.  But is it?  There is some sort of umami flavor there I cannot figure out.  And it keeps me sipping on the broth.  Not sure how they made it.  But it's actually has the depth in flavor I am looking for in a soup dish.  Granted I had to come here twice to come to this conclusion.  Lol. But good broth, so 5 stars."
Green China Grill,"A+ manager,  Chris! He was incredibly hospitable and thorough.  If i had a restaurant. I would want to hire him. Hand pulled noodles with shrimp were excellent.All of the appetizers,  cucumbers,  tofu skin, blanched potatoes and seaweed eye very refreshing. Only one star off because some of the dishes were spicy without any indication on the menu,  so my mom couldn't enjoy them. I recommend that they indicate on the menu :)Oh the fried bread slices were unique.  I liked them,  but my mom earned thrilled with the seasoning.Best thing was that they closed to let their staff eat between lunch and dinner time,  but didn't kick us out. They let us finish our meal in peace.  Awesome. Side note:This place has a sign up about being halal. I had to look it up. It's a Muslim practice when they slaughter their beef.  It's a particular way and is done with a specific prayer.  I wondered if they had non halal, regular options,  but it seems that they didn't.  So, good place for local muslims to eat according to their beliefs. Like kosher, which I think means certain foods are not permitted, Halal is also a way of beef preparation that includes a religious blessing.  Someone correct me if I am wrong."
Green China Grill,"Came back and this time had the tomato egg dish with default size noodles. Unfortunately a little too sweet for me. It was tasty otherwise. A huge of amount of noodles that I wish they gave a little bit more of the tomato egg for.That being said, service was still top notch and super friendly! Still highly recommend this place but stick with the soups."
Green China Grill,"Such delicious food in a really unassuming place. A cool part of this place is that you can see through a glass window and watch your noodles get freshly pulled/cooked. Also for the noodle dishes you can choose the thickness and cut of your noodles! Service was also really friendly and fast. I tried the braised beef noodle soup with thin noodles. The broth is so clear and really good flavor without being oily. The noodles had a nice chewiness to them too. My partner got the spinach sirloin noodle soup with extra thin noodles. We were surprised to see that the noodles actually had a green color to them! Probably from the spinach. But he said the spinach flavor didn't really come through. Between the sirloin and the braised beef, the sirloin ended up being a little more tender but the braised beef had a stronger flavor.I personally thought the prices were a little high but the quality of food was really good and with the friendly service I would definitely still recommend this place!"
Green China Grill,"When I got here at 1:30pm on a Sunday, I saw a line out the door. There was a waitlist and it took about 20 mins for me to be seated. The restaurant shouts authenticity. From the window featuring a hand-pulled noodles show to the customer base (mostly mainland Chinese), I knew I was getting good Chinese food. I ordered all the popular menu items per the suggestion of my excellent host (he has an extremely funny personality and he even gave us a side of cold appetizers because it was our first time!!) and everything was soo soo good! Since the noodles are pulled fresh to order, it did take a bit of time (15 mins?) for it to come out but it was totally worth the wait! Come here if you want to make your tummy happy!! :D"
Green China Grill,thank you sir !
Green China Grill,"I am surprised by the quality of the hand pulled noodles. It was fresh and oh so soft. We ordered the sirloin noodles (extra thin noodles), braised beef with extra thin noodles and 3 mix cold dishes. The braised beef was tender but it didn't melt in my mouth and the broth is flavorful. It's presented in a large bowl with an abundance of noodles. There's too many delicious items on the menu to select from, therefore, we are definitely going to come back here again to try other items on the menu."
Green China Grill,thank you Lyn
Green China Grill,"I don't like the fried noodle although it was highly recommended by the owner: too oily. The side dish is tasty but the portion is small, not really worthy the price paid. For the same price, I prefer to go their neighbor."
Green China Grill,"Came here for the first time with my family last night. This is the place to be if you want a chill place with some hand pulled noodles! All of the dishes we tried were amazing. Skewers - we for the lamb, chicken, and beef. They come on these metal skewers and taste amazing when they are hot! I really loved the lamb one, just because I love lamb and cumin, but if you're looking for something more flavorful and sweet- the chicken skewers are the ones to go to! They have a sweet bbq taste. Noodles- they were all amazing. The noodles were so good, we got an extra order of just the plain noodles. We tried the spicy hot oil noodles with the flat noodles (thick ones) and the flavor was definitely on point, but would have wished I ate it faster because it got cold quickly! We also tried the beef noodle soup with the thin flat noodles- my family loved this one! Just slurping up those hand pulled noodles! We also got the beef stew pot- the flavors in this one was amazing. The fat on the thinly sliced beef + the slight sour seasoning in the broth brought a lot of depth to this dish.Appetizer - the cold dish- must try the tripe!! It's so crunchy and the Mala seasoning it's marinated in is so numbing it's addicting! We also got wood ear which also had the Mala flavor and the cucumbers which were crunchy and refreshing.There are so many other menu items I want to try! I'll have to come back.Parking can be a little touch, so come early and be prepared to circle around."
Green China Grill,Thank u so much !!
Green China Grill,"This is the place I always go for hand pulled noodles. Always perfectly chewy noodles. Broth is also light and does not make me feel thirsty. Beef and sour cabbage pancake is crispy and juicy. Everything delicious overall. Plus, 10% off if you pay in cash"
Green China Grill,"thank you so much sweetie, come back anytime."
Green China Grill,"Came here for the first time with my family. Let me start off with the hostess/waiter he was the BEST!! Super nice and patient!! Couldn't ask for a better service!!They do have their own parking lot so you don't have to pay to park. They also have street parking if the parking lot is full. The noodles were so delicious. They make their own noodles in house so it is very fresh and tasty. Their meat is very tender, they slice it super thin so it is easy for you to eat. If you have not tried this place, please put this on your list as you will not be disappointed. Everything about this place was awesome. Thank you Green China Grill for a great first time experience, we will definitely be back."
Green China Grill,"I went to your restaurant more than once. So I have tried almost every single dish on your menu already. None of them taste good.  Also, you are the only restaurant in San Diego who charge customer for to go containers."
Green China Grill,"im so very sorry you didnt like the food. we do card as well, we do cash only, only if its under $20, as we informed you before ordering. you ordered 1 dish, we let you use card, and you added another dish, you're still paying card. sorry if there's any confusion, happy fathers day :) hopefully we will make it better next time. ps:  oh also, I believe you only ordered 2 dishes, the sirloin beef noodle soup (thick noodle) and sesame cold noodles. next time we will recommend you to try everything, im sure you will like at least one dish :) thanks again love.updated respond:so you come back more than once? you don't like any of the food but you keep coming back?  then put false information about us only accept cash, the saying we're rude. now you changed your review again.  girl what is it"
Green China Grill,"We came back here with our friends. This is a place that we always like and we wanna come back here again and again. Here's food is super authentic and just tastes like what you eat in real China. I also love they don't adjust the food taste to meet all other cultures peoples taste. It is authentic and nice. This time, we tried the hot chilly oil noodles, which is so yummy and hand pulled noodles are chewy and fresh. The service here is great, we really love the passion of the manager who is very helpful."
Green China Grill,"I feel like I'm back in China!!! To be honestly, this restaurant is the most authentic Chinese place I've ever had in San Diego. Even my husband said so too, and he has only been to China twice. It's very authentic and delicious!!! All the foods we ordered are very well made with good and clean ingredients, you can even watch they make the hand pulled noodles through the window. I love my cold cucumber and sesame rice noodles. My husband loved his lamb skewers. Both of us loved the beef wrap the most, it's so crispy outside. The cold dish is nice, you can pick 3 to make a combo. When my parent comes to visit, I'm sure they will love this place."
Green China Grill,"Good food. The noodles are amazing really. The big flat hand cut ones we almost two feet long. Wild. Two different  tofu were both fantastic. The tentacle looking tofu in the cold salad bar is a must try. Different than anything I have had at any Asian cuisine restaurant and delicious.The beef soup is real good. Different also. Broth seems like a tea base, mild in flavor, but the beef in it is really flavored and the fresh noodles in it as I said are amzing.. also the service was super. The gal was polite, helpful with recommendations and favorites, not in a rush like these places normally are, and she asked us twice as our food progressed how we were liking everything like she really wanted to know. And a manager, I assume he was, also came out pleasantly and asked how we like everything, like they do in a high end steak house. Pretty cool."
Green China Grill,the best beef noodle  in San Diego. I come here twice a week. That's should says all  also all the side dishes so good.
Green China Grill,"Very bad experience!  The food is expensive and tastes terrible.  Furthermore, I tipped them $5 on the receipt, while they actually charged me $7.5 for the tip, which I found after a few weeks.  Don't recommend this restaurant at all!"
Green China Grill,"good morning. our restaurant is known for good quality food, the flavor might not fit your taste, im so very sorry. but we always have a good reputation of having the best service, and we WILL NOT charge falsely for any customers. I'd like you to provide the date and receipts anytime to me, if we accidentally charged you extra I will give you a dispute back to the card, and refund you with a $200 apologize credit at our restaurant you can eat anytime. but please come over and show me the false charge? sounds good ? because I don't want other customers to see the false information that might not be true."
Green China Grill,"On a whim I tried the 'beef pancake' appetizer while I was waiting for an order from another restaurant and was delighted at how good it was. One of these appetizers is a meal by itself, tasty and filling. We'll definitely try some of their other dishes in the future."
Green China Grill,thank you so much.
Green China Grill,"Love this place.  One of the best hand made noodles in town.  They also have the best cold dishes in town.  One of the few Chinese restaurants I go to that I don't have a stomach ache the next day.  I can never come here without ordering at least one order or two orders of the cold dishes.  Their service is always pretty on point, menu is clear also have digital qr code menus.  I have nothing else to say but good things about this place.  Parking is a bit difficult to find when you come here on the weekend."
Green China Grill,"The food is on the sweet side, including fried rice. Prices are on the high side for the quality and quantity.Not a fan!"
Green China Grill,"Got veggie fried noodles through ubereats, thr food was packaged well and was tasty. The beggies werr vooked just right with enough noodles to satisfy me. Would consider going there in person."
Green China Grill,"The food is on the sweet side, including fried rice. Prices are on the high side for the quality and quantity.Not a fan!"
Green China Grill,"We came back here with our friends. This is a place that we always like and we wanna come back here again and again. Here's food is super authentic and just tastes like what you eat in real China. I also love they don't adjust the food taste to meet all other cultures peoples taste. It is authentic and nice. This time, we tried the hot chilly oil noodles, which is so yummy and hand pulled noodles are chewy and fresh. The service here is great, we really love the passion of the manager who is very helpful."
Green China Grill,"I feel like I'm back in China!!! To be honestly, this restaurant is the most authentic Chinese place I've ever had in San Diego. Even my husband said so too, and he has only been to China twice. It's very authentic and delicious!!! All the foods we ordered are very well made with good and clean ingredients, you can even watch they make the hand pulled noodles through the window. I love my cold cucumber and sesame rice noodles. My husband loved his lamb skewers. Both of us loved the beef wrap the most, it's so crispy outside. The cold dish is nice, you can pick 3 to make a combo. When my parent comes to visit, I'm sure they will love this place."
Green China Grill,"This is the place I always go for hand pulled noodles. Always perfectly chewy noodles. Broth is also light and does not make me feel thirsty. Beef and sour cabbage pancake is crispy and juicy. Everything delicious overall. Plus, 10% off if you pay in cash"
Green China Grill,"thank you so much sweetie, come back anytime."
Green China Grill,"Favorite Chinese restaurant in town!!! We've been here twice and both times I kept saying ""oh my god I can't believe how good it is!"" while eating - you know it's good when you can't shut up! We've tried cumin chicken noodle, braised beef noodle soup, lamb paomo, and some appetizers - all are AMAZING!!!"
Green China Grill,Thank you love !
Green China Grill,the noodle is very professional. We plan a trip to here for this restaurant from LA. hope they can open a branch in LA:).
Green China Grill,I appreciate you.
Green China Grill,Best service in town. Super friendly super pet friendly! The store manager Chris is such a wonderful staff to have. Sis and terry are amazing too! Food is very authentic and delicious. Highly recommend! 100% satisfied.
Green China Grill,thank you She. very much.
Green China Grill,"Good food. The noodles are amazing really. The big flat hand cut ones we almost two feet long. Wild. Two different  tofu were both fantastic. The tentacle looking tofu in the cold salad bar is a must try. Different than anything I have had at any Asian cuisine restaurant and delicious.The beef soup is real good. Different also. Broth seems like a tea base, mild in flavor, but the beef in it is really flavored and the fresh noodles in it as I said are amzing.. also the service was super. The gal was polite, helpful with recommendations and favorites, not in a rush like these places normally are, and she asked us twice as our food progressed how we were liking everything like she really wanted to know. And a manager, I assume he was, also came out pleasantly and asked how we like everything, like they do in a high end steak house. Pretty cool."
Green China Grill,"My new favorite restaurant.Look,  I don't want to be dramatic but I had the best noodle soup, (probably ever) here~ right here at good ol Green China. Don't think, just get the braised beef noodle soup with the hand sliced noodles~ Thank me laterThe spice, the broth, the braised beef~ flavors are so deliciously unique & complex . I'm so glad I decided to go against my initial judgement when my friend suggested this place~ I clearly knew nothing at the time."
Green China Grill,thank you Jen.
Green China Grill,Honestly super nice and caring workers. Was so pleasantly surprised. The environment was also clean and comfortable.
Green China Grill,"They added more items to the menu, but the go to is still the hand pulled noodle soup for me.  I personally like the braised beef noodle soup with added pickled vegetables the best.  The meat is a bit sweet and has a lot of flavor.  I also get the regular thin noodles.  The texture and size of the noodles can be customized to the way you want it.  I believe you can get knife cut noodle, thick noodle, regular noodle, or thin noodle.  And even for the noodle options, you can still customize it again, if you know the exact thickness that you like.  The cold dishes are a must get to as it compliments the noodles really well.  Be careful not too add too much hot oil.  Its spicier than it looks!"
Green China Grill,The sour cabbage and beef noodle soup was pretty good. I was expecting the beef to be more on the leaner side but was pleasantly surprised by how fatty it actually was. I would come back to try the knife cut noodles and the beef noodle soup
Green China Grill,Authentic and delicious. As soon as we walked in we were kindly greeted and seated. After figuring out it was our first time visiting our waiter went through the whole menu with plenty of recommendations. It was nice to try some local Chinese cuisine. Definitely coming back soon.
Green China Grill,"It's Christmas here already with a beautiful tree. Great place. Friendly staffs, and delicious noodle. If you want authentic Chinese hand pulled noodles, this is the place to be. Our server makes excellent recommendations, we ordered sour cabbage beef pancake, braised beef noodle soup, and cumin fried sliced noodle. Everything is Devine. The restaurant is very clean, too. Love the betta fish they have too, they told me he's name is little B. Haha Will be back for sure, and bring my family. Thank you green China grill."
Green China Grill,"This place is terrible. One of the first times we regretted getting supposedly authentic Chinese food. Check out the portion of the lamb ($10), the beef sour cabbage pancake was very bland ($13), and the Xinjiang spicy chicken noodles ($20) was not spicy at all! And contained mostly onions. I was craving my mom's Xinjiang spicy chicken dish, but this was nothing like it nor can compare to it. The flavor of the lamb was pretty good but not worth the price. The other two we'd rate as solid 1.5 and 2 out of 5. Also they charged 60 cents for each takeout container. With the price being so high, overall 1 star. The reviews which say 'I'm back in China' do not know what real Chinese food is, period."
Green China Grill,"hey Hannah, first of all thank you and your boyfriend Alex very much for both commenting on our page.  that's so thoughtful of you, I guess the food must be really bad to you guys. our restaurant is known as an authentic Chinese restaurant, we are full every day and our regular and new customer loves our food that's why we have the same style and same flavor food for the past 6 years. you're welcome back anytime to try our food again anytime, we will be here to serve you anytime. if not, spicy city is next to us, skip us and go there. our food is from different region of china, maybe there's no need to make our restaurant look so bad just because it doesn't fit your taste. and no needs to put down our customer who gave us good 5 stars review saying they've never been to china. she was actually Chinese from mainland china. again, I apologize to you that you don't like the food, you don't have to come back if its that bad for you to commenting bad about us everywhere. hope you sleep good at night honey."
Green China Grill,"food is good but the yellow hair server guy is terrible. Very arrogant and rude. Also didn't really following the health department guidance. He shouldn't touch his dog before handling the food to us. I thought Halal restaurant shouldn't allowing small animal get inside, and that guy touching, playing his dog while he is working. Just because of ask our food showed us his amgry face and gave f word to the poor dog. Very disappointed about the restaurant environment. Very dirty place. Very rude people"
Green China Grill,"you really have too much time in your hand man. you post reviews over and over again. call my servers ugly, then you delete the comments. then commented again. and have your ignorant friend lying about us ""not pets friendly"". you're so hateful, act like a man, you have too much free time in your hand. don't you have a restaurant, too ??  you're ""famous"" in a lot restaurants you know that right? if you are a restaurant owner yourself, too. you know what respect means. and to put false information about other restaurant its really not a good look for you. you keep saying we have dogs in the restaurant, then your friend said we are not pet friendly. you guys are two walking contradiction, like which one is it ?? lol.  anyways. just putting it out there. we are very busy, and staying busy. thanks for your concern friend. as I said, you're welcome back anytime. we will give you better service. but don't make up lies about my place just because things didn't go your way. take a deep breath, its no big deal."
Green China Grill,Love their hand-pulled noodle. Excellent quality that rivals many of the top noodle places in LA. It makes my return to San Diego a worthwhile decision.
Green China Grill,"Took my father and sister here for the first time. Dad had some trouble opening the digital menu on his phone. Sharp staff noticed this from afar and brought paper menus immediately. One of the employees named Chris then came over and explained various items on the menu, his recommendations, how their noodles differed from other restaurants, etc. Helped my father and sister pick the sirloin noodle soup & spinach noodle soup. He also gave us a free cold vegetable appetizer dish since it was their first time. We got the lamb & chicken skewers and beef pancake for appetizers. Everything tasted delicious. My sister thought the noodles & soup were very fresh and delicious. I would highly recommend this restaurant for authentic Chinese cooking. The massive number of Mandarin speaking customers was evidence of that. Great service and attention to detail. Five stars!"
Green China Grill,the noodle is very professional. We plan a trip to here for this restaurant from LA. hope they can open a branch in LA:).
Green China Grill,I appreciate you.
Green China Grill,"This is a must try for their specialty Hand Pull noodles. So delicious! The noodles are chewy and smooth that comes in different sizes to your own preference. The noodles are freshly and made to order., that's the best part.Chris , our server was great and we love him! He recommended us to try the spinach noodles especially in stir fried style, and oh my, that was so full of flavors!Chris even requested the chef to make the noodles less chewy for our little one so it would be easier for her to eat. That was very thoughtful of him.This will be one of our favorite spots to come to for noodles & and soup."
Green China Grill,thank you so much my dear for coming to our restaurant. welcome anytime and some other dishes we have. and thank you for your kind review.
Green China Grill,We ordered chicken plates.But most meat have just bone.Totally different with pictures. Greasy.We stopped eating and throwing mostly.
Green China Grill,"First time here and it was amazing ! Our server was Chris and he was very friendly and prompt. Also, he had excellent food suggestions, we ordered everything he suggested and it was great. He even made suggestions for our 2.5 year old, and brought her an egg which she loved ! To the food-spicy oil noodle - extremely good quality , great flavor and very filling .Beef pancake was described as a ""must have"" and did not disappoint ! Chicken skewers - meat tasted fresh and flavorful . My husband got the beef noodle soup and he loved it.There is a lady you can watch making the noodles from scratch, my daughter got a kick out of that , she is very instagrammable. What a gem! Will be back !"
Green China Grill,"So glad we tried this place! We decided to split the beef pancake and a bowl of the braised beef noodles. This type of Chinese cuisine I'm not really familiar with and I had never tried hand pulled noodles. I was really impressed! You can see the lady pulling the noodles so that was cool and the noodles were so good! Great flavor on its own. Really nice texture and chew. With the broth and meat? Phenomenal. With a tea soy sauce egg? Delish. Portions? Between my husband and I, splitting a bowl and an appetizer was perfect for lunch. The beef pancakes were good too. A little too much onion and not enough beef but flavor was good. Star of the show are the hand pulled noodles though. It was absolutely just delicious. They were busy when we came but the service was nice!  Our server was so friendly! As someone who just loves food in general and loves soup noodles, this place is a must try!"
Green China Grill,"Christine dear, thank you so much for the kind review. im so glad you enjoyed our food. we always provide good service to our customers. you're welcome back anytime and try different dishes here. god bless."
